506,23
ID,TOWN,TOWNNO,TRACT,LON,LAT,x,y,MEDV,CMEDV,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
20,Lynn                   ,4,2057,-70.9880,42.2776,336.070,4682.300,18.2,18.2,0.72580,0.00,8.14,0,0.538,5.727,69.50,3.7965,4,307,21.0,390.95,11.28
21,Lynn                   ,4,2058,-70.9835,42.2770,336.440,4682.220,13.6,13.6,1.25179,0.00,8.14,0,0.538,5.570,98.10,3.7979,4,307,21.0,376.57,21.02
22,Lynn                   ,4,2059,-70.9820,42.2810,336.570,4682.660,19.6,19.6,0.85204,0.00,8.14,0,0.538,5.965,89.20,4.0123,4,307,21.0,392.53,13.83
23,Lynn                   ,4,2060,-70.9775,42.2790,336.940,4682.430,15.2,15.2,1.23247,0.00,8.14,0,0.538,6.142,91.70,3.9769,4,307,21.0,396.90,18.72
24,Lynn                   ,4,2061,-70.9730,42.2790,337.310,4682.420,14.5,14.5,0.98843,0.00,8.14,0,0.538,5.813,100.00,4.0952,4,307,21.0,394.54,19.88
25,Lynn                   ,4,2062,-70.9693,42.2816,337.620,4682.710,15.6,15.6,0.75026,0.00,8.14,0,0.538,5.924,94.10,4.3996,4,307,21.0,394.33,16.30
26,Lynn                   ,4,2063,-70.9640,42.2840,338.060,4682.960,13.9,13.9,0.84054,0.00,8.14,0,0.538,5.599,85.70,4.4546,4,307,21.0,303.42,16.51
27,Lynn                   ,4,2064,-70.9597,42.2870,338.430,4683.290,16.6,16.6,0.67191,0.00,8.14,0,0.538,5.813,90.30,4.6820,4,307,21.0,376.88,14.81
28,Lynn                   ,4,2065,-70.9597,42.2825,338.410,4682.790,14.8,14.8,0.95577,0.00,8.14,0,0.538,6.047,88.80,4.4534,4,307,21.0,306.38,17.28
29,Lynn                   ,4,2066,-70.9570,42.2800,338.630,4682.510,18.4,18.4,0.77299,0.00,8.14,0,0.538,6.495,94.40,4.4547,4,307,21.0,387.94,12.80
30,Lynn                   ,4,2067,-70.9510,42.2780,339.120,4682.270,21.0,21.0,1.00245,0.00,8.14,0,0.538,6.674,87.30,4.2390,4,307,21.0,380.23,11.98
31,Lynn                   ,4,2068,-70.9670,42.2790,337.800,4682.410,12.7,12.7,1.13081,0.00,8.14,0,0.538,5.713,94.10,4.2330,4,307,21.0,360.17,22.60
32,Lynn                   ,4,2069,-70.9640,42.2765,338.040,4682.130,14.5,14.5,1.35472,0.00,8.14,0,0.538,6.072,100.00,4.1750,4,307,21.0,376.73,13.04
33,Lynn                   ,4,2070,-70.9720,42.2765,337.380,4682.150,13.2,13.2,1.38799,0.00,8.14,0,0.538,5.950,82.00,3.9900,4,307,21.0,232.60,27.71
34,Lynn                   ,4,2071,-70.9795,42.2760,336.770,4682.100,13.1,13.1,1.15172,0.00,8.14,0,0.538,5.701,95.00,3.7872,4,307,21.0,358.77,18.35
35,Lynn                   ,4,2072,-70.9775,42.2720,336.920,4681.660,13.5,13.5,1.61282,0.00,8.14,0,0.538,6.096,96.90,3.7598,4,307,21.0,248.31,20.34
36,Sargus                 ,5,2081,-71.0000,42.2700,335.060,4681.480,18.9,18.9,0.06417,0.00,5.96,0,0.499,5.933,68.20,3.3603,5,279,19.2,396.90,9.68
37,Sargus                 ,5,2082,-71.0080,42.2745,334.410,4681.990,20.0,20.0,0.09744,0.00,5.96,0,0.499,5.841,61.40,3.3779,5,279,19.2,377.56,11.41
38,Sargus                 ,5,2083,-71.0040,42.2865,334.770,4683.320,21.0,21.0,0.08014,0.00,5.96,0,0.499,5.850,41.50,3.9342,5,279,19.2,396.90,8.77
39,Sargus                 ,5,2084,-71.0200,42.2875,333.460,4683.460,24.7,24.2,0.17505,0.00,5.96,0,0.499,5.966,30.20,3.8473,5,279,19.2,393.43,10.13
40,Lynnfield              ,6,2091,-71.0130,42.3130,334.100,4686.280,30.8,30.8,0.02763,75.00,2.95,0,0.428,6.595,21.80,5.4011,3,252,18.3,395.63,4.32
41,Lynnfield              ,6,2092,-71.0300,42.3240,332.730,4687.530,34.9,34.9,0.03359,75.00,2.95,0,0.428,7.024,15.80,5.4011,3,252,18.3,395.62,1.98
42,Peabody                ,7,2101,-71.0040,42.3350,334.900,4688.700,26.6,26.6,0.12744,0.00,6.91,0,0.448,6.770,2.90,5.7209,3,233,17.9,385.41,4.84
43,Peabody                ,7,2102,-71.0030,42.3235,334.950,4687.420,25.3,25.3,0.14150,0.00,6.91,0,0.448,6.169,6.60,5.7209,3,233,17.9,383.37,5.81
44,Peabody                ,7,2103,-70.9775,42.3237,337.050,4687.400,24.7,24.7,0.15936,0.00,6.91,0,0.448,6.211,6.50,5.7209,3,233,17.9,394.46,7.44
45,Peabody                ,7,2104,-70.9675,42.3170,337.860,4686.630,21.2,21.2,0.12269,0.00,6.91,0,0.448,6.069,40.00,5.7209,3,233,17.9,389.39,9.55
46,Peabody                ,7,2105,-70.9725,42.3075,337.420,4685.590,19.3,19.3,0.17142,0.00,6.91,0,0.448,5.682,33.80,5.1004,3,233,17.9,396.90,10.21
47,Peabody                ,7,2106,-70.9650,42.3075,338.040,4685.570,20.0,20.0,0.18836,0.00,6.91,0,0.448,5.786,33.30,5.1004,3,233,17.9,396.90,14.15
48,Peabody                ,7,2107,-70.9560,42.3125,338.800,4686.110,16.6,16.6,0.22927,0.00,6.91,0,0.448,6.030,85.50,5.6894,3,233,17.9,392.74,18.80
49,Peabody                ,7,2108,-70.9550,42.3165,338.890,4686.550,14.4,14.4,0.25387,0.00,6.91,0,0.448,5.399,95.30,5.8700,3,233,17.9,396.90,30.81
50,Peabody                ,7,2109,-70.9525,42.3208,339.110,4687.030,19.4,19.4,0.21977,0.00,6.91,0,0.448,5.602,62.00,6.0877,3,233,17.9,396.90,16.20
51,Danvers                ,8,2111,-70.9510,42.3340,339.260,4688.490,19.7,19.7,0.08873,21.00,5.64,0,0.439,5.963,45.70,6.8147,4,243,16.8,395.56,13.45
52,Danvers                ,8,2112,-70.9630,42.3382,338.290,4688.980,20.5,20.5,0.04337,21.00,5.64,0,0.439,6.115,63.00,6.8147,4,243,16.8,393.97,9.43
53,Danvers                ,8,2113,-70.9580,42.3460,338.720,4689.840,25.0,25.0,0.05360,21.00,5.64,0,0.439,6.511,21.10,6.8147,4,243,16.8,396.90,5.28
54,Danvers                ,8,2114,-70.9780,42.3425,337.060,4689.490,23.4,23.4,0.04981,21.00,5.64,0,0.439,5.998,21.40,6.8147,4,243,16.8,396.90,8.43
55,Middleton              ,9,2121,-71.0175,42.3715,333.880,4692.780,18.9,18.9,0.01360,75.00,4.00,0,0.410,5.888,47.60,7.3197,3,469,21.1,396.90,14.80
56,Topsfield              ,10,2141,-70.9625,42.3810,338.440,4693.730,35.4,35.4,0.01311,90.00,1.22,0,0.403,7.249,21.90,8.6966,5,226,17.9,395.93,4.81
57,Hamilton               ,11,2151,-70.9300,42.3740,341.090,4692.890,24.7,24.7,0.02055,85.00,0.74,0,0.410,6.383,35.70,9.1876,2,313,17.3,396.90,5.77
58,Wenham                 ,12,2161,-70.9295,42.3715,341.130,4692.610,31.6,31.6,0.01432,100.00,1.32,0,0.411,6.816,40.50,8.3248,5,256,15.1,392.90,3.95
59,Beverly                ,13,2171,-70.9385,42.3460,340.320,4689.800,23.3,23.3,0.15445,25.00,5.13,0,0.453,6.145,29.20,7.8148,8,284,19.7,390.68,6.86
60,Beverly                ,13,2172,-70.9400,42.3320,340.160,4688.250,19.6,19.6,0.10328,25.00,5.13,0,0.453,5.927,47.20,6.9320,8,284,19.7,396.90,9.22
61,Beverly                ,13,2173,-70.9300,42.3370,341.000,4688.780,18.7,18.7,0.14932,25.00,5.13,0,0.453,5.741,66.20,7.2254,8,284,19.7,395.11,13.15
62,Beverly                ,13,2174,-70.9300,42.3275,340.980,4687.730,16.0,16.0,0.17171,25.00,5.13,0,0.453,5.966,93.40,6.8185,8,284,19.7,378.08,14.44
63,Beverly                ,13,2175,-70.9215,42.3320,341.690,4688.210,22.2,22.2,0.11027,25.00,5.13,0,0.453,6.456,67.80,7.2255,8,284,19.7,396.90,6.73
64,Beverly                ,13,2176,-70.9075,42.3390,342.860,4688.960,25.0,25.0,0.12650,25.00,5.13,0,0.453,6.762,43.40,7.9809,8,284,19.7,395.58,9.50
65,Manchester             ,14,2181,-70.8600,42.3450,346.790,4689.540,33.0,33.0,0.01951,17.50,1.38,0,0.416,7.104,59.50,9.2229,3,216,18.6,393.24,8.05
66,North Reading          ,15,3301,-71.0450,42.3450,331.550,4689.890,23.5,23.5,0.03584,80.00,3.37,0,0.398,6.290,17.80,6.6115,4,337,16.1,396.90,4.67
67,North Reading          ,15,3302,-71.0690,42.3525,329.590,4690.770,19.4,19.4,0.04379,80.00,3.37,0,0.398,5.787,31.10,6.6115,4,337,16.1,396.90,10.24
68,Wilmington             ,16,3311,-71.0900,42.3362,327.820,4689.010,22.0,22.0,0.05789,12.50,6.07,0,0.409,5.878,21.40,6.4980,4,345,18.9,396.21,8.10
69,Wilmington             ,16,3312,-71.1080,42.3400,326.340,4689.470,17.4,17.4,0.13554,12.50,6.07,0,0.409,5.594,36.80,6.4980,4,345,18.9,396.90,13.09
70,Wilmington             ,16,3313,-71.1110,42.3270,326.060,4688.030,20.9,20.9,0.12816,12.50,6.07,0,0.409,5.885,33.00,6.4980,4,345,18.9,396.90,8.79
71,Burlington             ,17,3321,-71.1210,42.3160,325.210,4686.830,24.2,24.2,0.08826,0.00,10.81,0,0.413,6.417,6.60,5.2873,4,305,19.2,383.73,6.72
72,Burlington             ,17,3322,-71.1095,42.3008,326.110,4685.120,21.7,21.7,0.15876,0.00,10.81,0,0.413,5.961,17.50,5.2873,4,305,19.2,376.94,9.88
73,Burlington             ,17,3323,-71.1300,42.3050,324.430,4685.620,22.8,22.8,0.09164,0.00,10.81,0,0.413,6.065,7.80,5.2873,4,305,19.2,390.91,5.52
74,Burlington             ,17,3324,-71.1230,42.2920,324.980,4684.170,23.4,23.4,0.19539,0.00,10.81,0,0.413,6.245,6.20,5.2873,4,305,19.2,377.17,7.54
75,Woburn                 ,18,3331,-71.1105,42.2890,326.000,4683.810,24.1,24.1,0.07896,0.00,12.83,0,0.437,6.273,6.00,4.2515,5,398,18.7,394.92,6.78
76,Woburn                 ,18,3332,-71.1000,42.2875,326.860,4683.620,21.4,21.4,0.09512,0.00,12.83,0,0.437,6.286,45.00,4.5026,5,398,18.7,383.23,8.94
77,Woburn                 ,18,3333,-71.0900,42.2835,327.670,4683.150,20.0,20.0,0.10153,0.00,12.83,0,0.437,6.279,74.50,4.0522,5,398,18.7,373.66,11.97
78,Woburn                 ,18,3334,-71.0760,42.2895,328.840,4683.790,20.8,20.8,0.08707,0.00,12.83,0,0.437,6.140,45.80,4.0905,5,398,18.7,386.96,10.27
79,Woburn                 ,18,3335,-71.0905,42.2950,327.660,4684.430,21.2,21.2,0.05646,0.00,12.83,0,0.437,6.232,53.70,5.0141,5,398,18.7,386.40,12.34
80,Woburn                 ,18,3336,-71.0910,42.3050,327.650,4685.540,20.3,20.3,0.08387,0.00,12.83,0,0.437,5.874,36.60,4.5026,5,398,18.7,396.06,9.10
81,Reading                ,19,3341,-71.0685,42.3080,329.510,4685.830,28.0,28.0,0.04113,25.00,4.86,0,0.426,6.727,33.50,5.4007,4,281,19.0,396.90,5.29
82,Reading                ,19,3342,-71.0690,42.3150,329.490,4686.610,23.9,23.9,0.04462,25.00,4.86,0,0.426,6.619,70.40,5.4007,4,281,19.0,395.63,7.22
83,Reading                ,19,3343,-71.0675,42.3260,329.640,4687.830,24.8,24.8,0.03659,25.00,4.86,0,0.426,6.302,32.20,5.4007,4,281,19.0,396.90,6.72
84,Reading                ,19,3344,-71.0575,42.3170,330.440,4686.810,22.9,22.9,0.03551,25.00,4.86,0,0.426,6.167,46.70,5.4007,4,281,19.0,390.64,7.51
85,Wakefield              ,20,3351,-71.0430,42.3075,331.610,4685.730,23.9,23.9,0.05059,0.00,4.49,0,0.449,6.389,48.00,4.7794,3,247,18.5,396.90,9.62
86,Wakefield              ,20,3352,-71.0500,42.3000,331.020,4684.910,26.6,26.6,0.05735,0.00,4.49,0,0.449,6.630,56.10,4.4377,3,247,18.5,392.30,6.53
87,Wakefield              ,20,3353,-71.0330,42.3050,332.430,4685.430,22.5,22.5,0.05188,0.00,4.49,0,0.449,6.015,45.10,4.4272,3,247,18.5,395.99,12.86
88,Wakefield              ,20,3354,-71.0390,42.2885,331.890,4683.610,22.2,22.2,0.07151,0.00,4.49,0,0.449,6.121,56.80,3.7476,3,247,18.5,395.15,8.44
89,Melrose                ,21,3361,-71.0420,42.2796,331.620,4682.630,23.6,23.6,0.05660,0.00,3.41,0,0.489,7.007,86.30,3.4217,2,270,17.8,396.90,5.50
90,Melrose                ,21,3362,-71.0345,42.2785,332.240,4682.490,28.7,28.7,0.05302,0.00,3.41,0,0.489,7.079,63.10,3.4145,2,270,17.8,396.06,5.70
91,Melrose                ,21,3363,-71.0300,42.2720,332.590,4681.760,22.6,22.6,0.04684,0.00,3.41,0,0.489,6.417,66.10,3.0923,2,270,17.8,392.18,8.81
92,Melrose                ,21,3364,-71.0425,42.2715,331.560,4681.730,22.0,22.0,0.03932,0.00,3.41,0,0.489,6.405,73.90,3.0921,2,270,17.8,393.55,8.20
93,Stoneham               ,22,3371,-71.0530,42.2830,330.720,4683.030,22.9,22.9,0.04203,28.00,15.04,0,0.464,6.442,53.60,3.6659,4,270,18.2,395.01,8.16
94,Stoneham               ,22,3372,-71.0620,42.2960,330.020,4684.490,25.0,25.0,0.02875,28.00,15.04,0,0.464,6.211,28.90,3.6659,4,270,18.2,396.33,6.21
95,Stoneham               ,22,3373,-71.0615,42.2840,330.020,4683.150,20.6,20.6,0.04294,28.00,15.04,0,0.464,6.249,77.30,3.6150,4,270,18.2,396.90,10.59
96,Winchester             ,23,3381,-71.0760,42.2775,328.810,4682.460,28.4,28.4,0.12204,0.00,2.89,0,0.445,6.625,57.80,3.4952,2,276,18.0,357.98,6.65
97,Winchester             ,23,3382,-71.0850,42.2775,328.070,4682.480,21.4,21.4,0.11504,0.00,2.89,0,0.445,6.163,69.60,3.4952,2,276,18.0,391.83,11.34
98,Winchester             ,23,3383,-71.0890,42.2715,327.720,4681.820,38.7,38.7,0.12083,0.00,2.89,0,0.445,8.069,76.00,3.4952,2,276,18.0,396.90,4.21
99,Winchester             ,23,3384,-71.0982,42.2685,326.960,4681.510,43.8,43.8,0.08187,0.00,2.89,0,0.445,7.820,36.90,3.4952,2,276,18.0,393.53,3.57
100,Winchester             ,23,3385,-71.0800,42.2680,328.460,4681.410,33.2,33.2,0.06860,0.00,2.89,0,0.445,7.416,62.50,3.4952,2,276,18.0,396.90,6.19
101,Medford                ,24,3391,-71.0668,42.2545,329.510,4679.890,27.5,27.5,0.14866,0.00,8.56,0,0.520,6.727,79.90,2.7778,5,384,20.9,394.76,9.42
102,Medford                ,24,3392,-71.0810,42.2450,328.310,4678.860,26.5,26.5,0.11432,0.00,8.56,0,0.520,6.781,71.30,2.8561,5,384,20.9,395.58,7.67
103,Medford                ,24,3393,-71.0812,42.2515,328.310,4679.580,18.6,18.6,0.22876,0.00,8.56,0,0.520,6.405,85.40,2.7147,5,384,20.9,70.80,10.63
104,Medford                ,24,3394,-71.0770,42.2490,328.650,4679.300,19.3,19.3,0.21161,0.00,8.56,0,0.520,6.137,87.40,2.7147,5,384,20.9,394.47,13.44
105,Medford                ,24,3395,-71.0690,42.2480,329.310,4679.170,20.1,20.1,0.13960,0.00,8.56,0,0.520,6.167,90.00,2.4210,5,384,20.9,392.69,12.33
106,Medford                ,24,3396,-71.0662,42.2425,329.530,4678.550,19.5,19.5,0.13262,0.00,8.56,0,0.520,5.851,96.70,2.1069,5,384,20.9,394.05,16.47
107,Medford                ,24,3397,-71.0622,42.2431,329.860,4678.610,19.5,19.5,0.17120,0.00,8.56,0,0.520,5.836,91.90,2.2110,5,384,20.9,395.67,18.66
108,Medford                ,24,3398,-71.0553,42.2465,330.440,4678.980,20.4,20.4,0.13117,0.00,8.56,0,0.520,6.127,85.20,2.1224,5,384,20.9,387.69,14.09
109,Medford                ,24,3399,-71.0550,42.2505,330.470,4679.420,19.8,19.8,0.12802,0.00,8.56,0,0.520,6.474,97.10,2.4329,5,384,20.9,395.24,12.27
110,Medford                ,24,3400,-71.0600,42.2540,330.070,4679.820,19.4,19.4,0.26363,0.00,8.56,0,0.520,6.229,91.20,2.5451,5,384,20.9,391.23,15.55
111,Medford                ,24,3401,-71.0560,42.2605,330.410,4680.530,21.7,21.7,0.10793,0.00,8.56,0,0.520,6.195,54.40,2.7778,5,384,20.9,393.49,13.00
112,Malden                 ,25,3411,-71.0475,42.2610,331.120,4680.570,22.8,22.8,0.10084,0.00,10.01,0,0.547,6.715,81.60,2.6775,6,432,17.8,395.59,10.16
113,Malden                 ,25,3412,-71.0490,42.2530,330.970,4679.690,18.8,18.8,0.12329,0.00,10.01,0,0.547,5.913,92.90,2.3534,6,432,17.8,394.95,16.21
114,Malden                 ,25,3413,-71.0428,42.2580,331.500,4680.230,18.7,18.7,0.22212,0.00,10.01,0,0.547,6.092,95.40,2.5480,6,432,17.8,396.90,17.09
115,Malden                 ,25,3414,-71.0396,42.2512,331.740,4679.470,18.5,18.5,0.14231,0.00,10.01,0,0.547,6.254,84.20,2.2565,6,432,17.8,388.74,10.45
116,Malden                 ,25,3415,-71.0355,42.2545,332.090,4679.830,18.3,18.3,0.17134,0.00,10.01,0,0.547,5.928,88.20,2.4631,6,432,17.8,344.91,15.76
117,Malden                 ,25,3416,-71.0360,42.2608,332.070,4680.530,21.2,21.2,0.13158,0.00,10.01,0,0.547,6.176,72.50,2.7301,6,432,17.8,393.30,12.04
118,Malden                 ,25,3417,-71.0285,42.2620,332.690,4680.640,19.2,19.2,0.15098,0.00,10.01,0,0.547,6.021,82.60,2.7474,6,432,17.8,394.51,10.30
119,Malden                 ,25,3418,-71.0285,42.2580,332.680,4680.200,20.4,20.4,0.13058,0.00,10.01,0,0.547,5.872,73.10,2.4775,6,432,17.8,338.63,15.37
120,Malden                 ,25,3419,-71.0190,42.2605,333.470,4680.460,19.3,19.3,0.14476,0.00,10.01,0,0.547,5.731,65.20,2.7592,6,432,17.8,391.50,13.61
121,Everett                ,26,3421,-71.0243,42.2483,333.000,4679.120,22.0,22.0,0.06899,0.00,25.65,0,0.581,5.870,69.70,2.2577,2,188,19.1,389.15,14.37
122,Everett                ,26,3422,-71.0312,42.2505,332.430,4679.370,20.3,20.3,0.07165,0.00,25.65,0,0.581,6.004,84.10,2.1974,2,188,19.1,377.67,14.27
123,Everett                ,26,3423,-71.0377,42.2470,331.890,4679.000,20.5,20.5,0.09299,0.00,25.65,0,0.581,5.961,92.90,2.0869,2,188,19.1,378.09,17.93
124,Everett                ,26,3424,-71.0370,42.2435,331.940,4678.610,17.3,17.3,0.15038,0.00,25.65,0,0.581,5.856,97.00,1.9444,2,188,19.1,370.31,25.41
125,Everett                ,26,3425,-71.0308,42.2450,332.450,4678.760,18.8,18.8,0.09849,0.00,25.65,0,0.581,5.879,95.80,2.0063,2,188,19.1,379.38,17.58
126,Everett                ,26,3426,-71.0262,42.2431,332.830,4678.540,21.4,21.4,0.16902,0.00,25.65,0,0.581,5.986,88.40,1.9929,2,188,19.1,385.02,14.81
127,Everett                ,26,3427,-71.0333,42.2395,332.230,4678.160,15.7,15.7,0.38735,0.00,25.65,0,0.581,5.613,95.60,1.7572,2,188,19.1,359.29,27.26
128,Somerville             ,27,3501,-71.0530,42.2355,330.600,4677.750,16.2,16.2,0.25915,0.00,21.89,0,0.624,5.693,96.00,1.7883,4,437,21.2,392.11,17.19
129,Somerville             ,27,3502,-71.0580,42.2350,330.180,4677.710,18.0,18.0,0.32543,0.00,21.89,0,0.624,6.431,98.80,1.8125,4,437,21.2,396.90,15.39
130,Somerville             ,27,3503,-71.0638,42.2368,329.710,4677.920,14.3,14.3,0.88125,0.00,21.89,0,0.624,5.637,94.70,1.9799,4,437,21.2,396.90,18.34
131,Somerville             ,27,3504,-71.0692,42.2390,329.270,4678.170,19.2,19.2,0.34006,0.00,21.89,0,0.624,6.458,98.90,2.1185,4,437,21.2,395.04,12.60
132,Somerville             ,27,3505,-71.0750,42.2400,328.790,4678.290,19.6,19.6,1.19294,0.00,21.89,0,0.624,6.326,97.70,2.2710,4,437,21.2,396.90,12.26
133,Somerville             ,27,3506,-71.0745,42.2405,328.830,4678.350,23.0,23.0,0.59005,0.00,21.89,0,0.624,6.372,97.90,2.3274,4,437,21.2,385.76,11.12
134,Somerville             ,27,3507,-71.0790,42.2450,328.480,4678.860,18.4,18.4,0.32982,0.00,21.89,0,0.624,5.822,95.40,2.4699,4,437,21.2,388.69,15.03
135,Somerville             ,27,3508,-71.0760,42.2405,328.710,4678.350,15.6,15.6,0.97617,0.00,21.89,0,0.624,5.757,98.40,2.3460,4,437,21.2,262.76,17.31
136,Somerville             ,27,3509,-71.0750,42.2362,328.780,4677.870,18.1,18.1,0.55778,0.00,21.89,0,0.624,6.335,98.20,2.1107,4,437,21.2,394.67,16.96
137,Somerville             ,27,3510,-71.0677,42.2335,329.380,4677.560,17.4,17.4,0.32264,0.00,21.89,0,0.624,5.942,93.50,1.9669,4,437,21.2,378.25,16.90
138,Somerville             ,27,3511,-71.0630,42.2325,329.760,4677.440,17.1,17.1,0.35233,0.00,21.89,0,0.624,6.454,98.40,1.8498,4,437,21.2,394.08,14.59
139,Somerville             ,27,3512,-71.0620,42.2275,329.830,4676.880,13.3,13.3,0.24980,0.00,21.89,0,0.624,5.857,98.20,1.6686,4,437,21.2,392.04,21.32
140,Somerville             ,27,3513,-71.0568,42.2300,330.270,4677.150,17.8,17.8,0.54452,0.00,21.89,0,0.624,6.151,97.90,1.6687,4,437,21.2,396.90,18.46
141,Somerville             ,27,3514,-71.0518,42.2312,330.680,4677.270,14.0,14.0,0.29090,0.00,21.89,0,0.624,6.174,93.60,1.6119,4,437,21.2,388.08,24.16
142,Somerville             ,27,3515,-71.0543,42.2265,330.460,4676.750,14.4,14.4,1.62864,0.00,21.89,0,0.624,5.019,100.00,1.4394,4,437,21.2,396.90,34.41
143,Cambridge              ,28,3521,-71.0480,42.2222,330.970,4676.260,13.4,13.4,3.32105,0.00,19.58,1,0.871,5.403,100.00,1.3216,5,403,14.7,396.90,26.82
144,Cambridge              ,28,3522,-71.0519,42.2230,330.650,4676.360,15.6,15.6,4.09740,0.00,19.58,0,0.871,5.468,100.00,1.4118,5,403,14.7,396.90,26.42
145,Cambridge              ,28,3523,-71.0510,42.2205,330.720,4676.080,11.8,11.8,2.77974,0.00,19.58,0,0.871,4.903,97.80,1.3459,5,403,14.7,396.90,29.29
146,Cambridge              ,28,3524,-71.0540,42.2190,330.470,4675.920,13.8,13.8,2.37934,0.00,19.58,0,0.871,6.130,100.00,1.4191,5,403,14.7,172.91,27.80
147,Cambridge              ,28,3525,-71.0590,42.2210,330.060,4676.150,15.6,15.6,2.15505,0.00,19.58,0,0.871,5.628,100.00,1.5166,5,403,14.7,169.27,16.65
148,Cambridge              ,28,3526,-71.0555,42.2222,330.350,4676.280,14.6,14.6,2.36862,0.00,19.58,0,0.871,4.926,95.70,1.4608,5,403,14.7,391.71,29.53
149,Cambridge              ,28,3527,-71.0567,42.2240,330.260,4676.480,17.8,17.8,2.33099,0.00,19.58,0,0.871,5.186,93.80,1.5296,5,403,14.7,356.99,28.32
150,Cambridge              ,28,3528,-71.0580,42.2230,330.150,4676.370,15.4,15.4,2.73397,0.00,19.58,0,0.871,5.597,94.90,1.5257,5,403,14.7,351.85,21.45
151,Cambridge              ,28,3529,-71.0620,42.2236,329.820,4676.450,21.5,21.5,1.65660,0.00,19.58,0,0.871,6.122,97.30,1.6180,5,403,14.7,372.80,14.10
152,Cambridge              ,28,3530,-71.0622,42.2205,329.800,4676.100,19.6,19.6,1.49632,0.00,19.58,0,0.871,5.404,100.00,1.5916,5,403,14.7,341.60,13.28
